title,rating
The Rules of the Game,0
Palm Springs,0
Skyfall,0
One Child Nation,0
Cam,0
Only Yesterday,0
You Can't Take It With You,0
Balthazar,0
The Salvation,0
Monsieur Lazhar,0
Gunnin' for That No. 1 Spot,0
The Rover,0
Confirmation,0
My Winnipeg,0
Don't Think Twice,0
Shadow of a Doubt,0
The Crying Game,0
Song of the Road,0
28 Days Later,0
Undefeated,0
Born Into Brothels,0
A Fistful of Dollars,0
Boyhood,0
Ready or Not,0
In the Line of Fire,0
Shoplifters,0
Chinatown,0
The Sandlot,0
Portrait of a Lady on Fire,0
Hostiles,0
Being Elmo: A Puppeteer's Journey,0
Strangers on a Train,0
Gravity,0
Star Trek,0
Night of the Living Dead,0
Roman Holiday,0
The Hurt Locker,0
Bull Durham,0
Capturing the Friedmans,0
Missing Link,0
I Am Divine,0
Mary Poppins,0
The Quick and the Dead,0
Sweetgrass,0
Lady and the Tramp,0
The LEGO Batman Movie,0
In Search of Beethoven,0
Glory Road,0
Pete's Dragon,0
Bowling for Columbine,0
Young Frankenstein,0
Stoked: The Rise and Fall of Gator,0
Step Into Liquid,0
The Grapes of Wrath,0
In a Valley of Violence,0
Mafioso,0
Eternal Sunshine of the Spotless Mind,0
To Catch a Thief,0
Murderball,0
The Kid Stays in the Picture,0
Best Worst Movie,0
This Film Is Not Yet Rated,0
All In: The Fight for Democracy,0
The LEGO Movie,0
Blue,0
Control Room,0
Tokyo Story,0
Kung Fu Panda 3,0
American Outlaws,0
I'm Still Here,0
The Forty-Year-Old Version,0
Mission: Impossible -- Fallout,0
Man on Wire,0
The Wrestler,0
Jason and the Argonauts,0
Airplane!,0
Children of Paradise,0
Badlands,0
Invasion of the Body Snatchers,0
8 1/2,0
Big Night,0
Fed Up,0
Touching the Void,0
Hidden Figures,0
Edge of Tomorrow,0
Overnight,0
My Architect,0
The Best Years of Our Lives,0
A Separation,0
I Am,0
Shaun of the Dead,0
Mad Max: Fury Road,0
The Dark and the Wicked,0
Love Is Strange,0
The Artist,0
Notorious,0
War for the Planet of the Apes,0
Hedwig and the Angry Inch,0
Vision: From the Life of Hildegard von Bingen,0
Hitchcock/Truffaut,0
Toy Story,0
The Ballad of Buster Scruggs,0
The Pale Door,0
Looper,0
Ikiru,0
Pan's Labyrinth,0
To Be or Not to Be,0
Paterson,0
Stormy Weather,0
The Breadwinner,0
The Phantom of the Opera,0
Giant,0
Butch Cassidy and the Sundance Kid,0
Shaun the Sheep Movie,0
The Battle of Algiers,0
Four Weddings and a Funeral,0
The Class,0
How to Train Your Dragon: The Hidden World,0
Harry Potter and the Prisoner of Azkaban,0
Howards End,0
Spirited Away,0
A Secret Love,0
I Am Not Your Negro,0
Ant-Man and The Wasp,0
The Crash Reel,0
Darbareye Elly,0
Captain Marvel,0
First Position,0
The Vast of Night,0
Only Human,0
We Are the Best!,0
The Horse Whisperer,0
Bill Cunningham New York,0
The Heart of the Game,0
Dracula,0
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,0
El Camino: A Breaking Bad Movie,0
Star Wars: The Force Awakens,0
Frenzy,0
The Magnificent Seven,0
Tampopo,0
Let the Right One In,0
Wings of Desire,0
The Hate U Give,0
Totally Under Control,0
Field of Dreams,0
The Loved Ones,0
Amour,0
Appaloosa,0
Wordplay,0
Blow the Man Down,0
Some Like It Hot,0
Sunset Blvd.,0
Because of Winn-Dixie,0
Seraphim Falls,0
The Taking of Pelham One Two Three,0
Diabolique,0
Porn Star: The Legend of Ron Jeremy,0
Sorry to Bother You,0
The Act of Killing,0
Playtime,0
A Summer's Tale,0
Touch of Evil,0
Monty Python and the Holy Grail,0
The Armstrong Lie,0
Good Hair,0
The Killer Inside Me,0
Jiminy Glick in Lalawood,0
The War Tapes,0
His Girl Friday,0
Dogtown and Z-Boys,0
Widows,0
Rango,0
Wallace & Gromit: The Curse of the Were-Rabbit,0
Afghan Star,0
The Terminator,0
Fellini: I'm a Born Liar,0
Laura,0
Gone With the Wind,0
Talladega Nights: The Ballad of Ricky Bobby,0
The Wild Bunch,0
The Honeymooners,0
Monsoon Wedding,0
Lassie,0
The Apartment,0
Sicario,0
The Arbor,0
How to Train Your Dragon 2,0
Carrie,0
Tristram Shandy: A Cock and Bull Story,0
Selma,0
The Innocents,0
The Gatekeepers,0
A League of Their Own,0
Sukiyaki Western Django,0
A Million Ways to Die in the West,0
March of the Penguins,0
Dust to Glory,0
McQueen,0
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",0
The Homesman,0
Tears of the Black Tiger,0
Modern Times,0
The Keeping Room,0
Grudge Match,0
Kind Hearts and Coronets,0
"The Good, the Bad and the Ugly",0
Crip Camp,0
Dawn of the Dead,0
The Boxer,0
The Jungle Book,0
Groundhog Day,0
Lagaan: Once Upon a Time in India,0
Spontaneous,0
Ai Weiwei: Never Sorry,0
Jafar Panahi's Taxi,0
Us,7
The Fighter,0
"20,000 Days on Earth",0
Bone Tomahawk,0
It Comes at Night,0
Before Sunset,0
M,0
Waking Sleeping Beauty,0
Klaus,0
Her,0
Don't Breathe,0
The 400 Blows,0
The Cabin in the Woods,0
To Be and to Have,0
The Social Network,0
Finding Dory,0
Kiki's Delivery Service,0
Django Unchained,0
Red Hill,0
Zombieland,0
My Date With Drew,0
The Evil Dead,0
Boys State,0
Florence Foster Jenkins,0
Werckmeister Harmonies,0
Lost in Translation,0
Things to Come,0
Summer Hours,0
Chasing Ice,0
The Lunchbox,0
Blackthorn,0
Winged Migration,0
King Kong,0
We Were Here,0
Black Is King,0
Mary and Max,0
The Five Obstructions,0
Sleeping Beauty,0
Big,0
Avengers: Endgame,0
Dances With Wolves,0
Marvel's the Avengers,0
The Last of the Unjust,0
The Devil Came on Horseback,0
North by Northwest,0
Goldfinger,0
Outfoxed: Rupert Murdoch's War on Journalism,0
Waste Land,0
Amy,0
All Is Lost,0
Assault on Precinct 13,0
A Christmas Story,0
Guardians of the Galaxy,0
Anvil! The Story of Anvil,0
The Filth and the Fury,0
Iris,0
5 Broken Cameras,0
The Triplets of Belleville,0
First Man,0
Goon,0
The Interrupters,0
Tell Them Who You Are,0
The Painter and the Thief,0
The Wages of Fear,0
The Secret World of Arrietty,0
Avengers: Infinity War,0
Beauty and the Beast,0
Grand Illusion,0
The Invisible Man,0
The Florida Project,0
Blood Simple,0
Dead Man,0
Open Range,0
Shirkers,0
Inside Out,0
"Yoo-Hoo, Mrs. Goldberg",0
The Lady Eve,0
Chicago,0
Sideways,0
What's Love Got to Do With It,0
Finding Nemo,0
Ned Kelly,0
Burma VJ: Reporting From a Closed Country,0
Blade Runner 2049,0
The Look of Silence,0
Host,0
Jane Got a Gun,0
The Endless,0
Manakamana,0
September Dawn,0
The Love Witch,0
The Martian,0
Aguirre: The Wrath of God,0
Eyes Without a Face,0
49 Up,0
How Green Was My Valley,0
The Birds,0
Collective,0
Senna,0
Finding Vivian Maier,0
Side by Side,0
Foreign Correspondent,0
Mission: Impossible Rogue Nation,0
Grave of the Fireflies,0
Sweeney Todd: The Demon Barber of Fleet Street,0
Pandora's Box,0
Guardians of the Galaxy Vol. 2,0
Zootopia,0
Ernest & Célestine,0
Jaws,0
Up in the Air,0
The Nightmare Before Christmas,0
Dr. Jekyll and Mr. Hyde,0
Invincible,0
The Salt of the Earth,0
The Fight,0
Baby Driver,0
David Byrne's American Utopia,0
Last Train Home,0
Leave No Trace,0
Nights of Cabiria,0
After the Storm,0
The Kid,0
Suspiria,0
Gloria Bell,0
Paddington,0
The Blind Side,0
56 Up,0
Love & Friendship,0
Taxi to the Dark Side,0
Girlfight,0
The Salesman,0
Duel,0
Nashville,0
Once,0
Ralph Breaks the Internet,0
Dead of Night,0
Behind the Candelabra,0
Sing Street,0
The Umbrellas of Cherbourg,0
The Texas Chain Saw Massacre,0
Festival Express,0
Border,0
The Farewell,0
Spy,0
Color Out of Space,0
A Film Unfinished,0
Logan,0
Catch Me if You Can,0
La La Land,0
Wild Wild West,0
A Hard Day's Night,0
The Missing Picture,0
Up,0
Strong Island,0
Three Identical Strangers,0
The Peanut Butter Falcon,0
Stop Making Sense,0
City Slickers,0
Miracle on 34th Street,0
Vertigo,0
The Fog of War,0
Thor: Ragnarok,0
Booksmart,0
The Mummy,0
Apocalypse Now,0
12 Angry Men,0
The Invisible War,0
Red Army,0
Elaine Stritch: Shoot Me,0
A Monster Calls,0
Cowboys & Aliens,0
Texas Rangers,0
Saraband,0
Blank City,0
La Bamba,0
The Wolf Man,0
Gloria,0
Saint Frances,0
Seven Samurai,0
The Square,0
Willy Wonka and the Chocolate Factory,0
U2 3D,0
The Player,0
Princess Mononoke,0
Roma,0
Taxi Driver,0
Rio Bravo,0
Deadpool 2,0
The Wizard of Oz,0
Amazing Grace,0
On the Waterfront,0
La llorona,0
The French Connection,0
Spider-Man: Into the Spider-Verse,0
Who Framed Roger Rabbit,0
Never Rarely Sometimes Always,0
Trumbo,0
The Godfather,0
15 Minutes,0
The Color of Money,0
Tyson,0
Won't You Be My Neighbor?,0
About a Boy,0
The Witch,0
Shakespeare in Love,0
Logan Lucky,0
The Lone Ranger,0
A Nightmare on Elm Street,0
Faces Places,0
Ratatouille,0
The Manchurian Candidate,0
Re-Animator,0
Room 237,0
Scarface,0
Silver Linings Playbook,0
The Shape of Water,0
Go Tigers!,0
Exit Through the Gift Shop,0
First Descent,0
Phil Spector,0
The Fugitive,0
The Hateful Eight,0
An Inconvenient Truth,0
Waltz With Bashir,0
Hugo,0
The Trial of the Chicago 7,0
Let Me In,0
Sholem Aleichem: Laughing in the Darkness,0
The Bridge on the River Kwai,0
Moana,0
The Wicker Man,0
The Overnighters,0
The Tale of the Princess Kaguya,0
The Gold Rush,0
Chicken Run,0
Sicko,0
Fantastic Mr. Fox,0
Yellow Submarine,0
To All the Boys I've Loved Before,0
The African Queen,0
Secretariat,0
Super Size Me,0
A Shaun the Sheep Movie: Farmageddon,0
Frozen,0
Paris Is Burning,0
The 39 Steps,0
Doctor Zhivago,0
Love & Mercy,0
The Return,0
Duma,0
Maiden,0
The Third Man,0
The Real Cancun,0
Star Wars: The Last Jedi,0
The Iron Giant,0
L.A. Confidential,0
Fireworks Wednesday,0
Moonrise Kingdom,0
Metropolis,0
Slumdog Millionaire,0
From Justin to Kelly,0
Parasite,0
Eighth Grade,0
All About My Mother,0
The Disaster Artist,0
Legends of the Fall,0
Sing Your Song,0
Incredibles 2,0
The Treasure of the Sierra Madre,0
A Fantastic Woman,0
The Queen of Versailles,0
Misery,0
Bringing Up Baby,0
The Red Circle,0
The Maltese Falcon,0
Mea Maxima Culpa: Silence in the House of God,0
Dave Chappelle's Block Party,0
The Discreet Charm of the Bourgeoisie,0
The Day the Earth Stood Still,0
A Quiet Place,0
The Thin Man,0
Bride of Frankenstein,0
Weiner,0
Lawrence of Arabia,0
"Monsters, Inc.",0
The Lost Weekend,0
Babe,0
Gone Girl,0
Once Upon a Time... In Hollywood,0
Inside Deep Throat,0
Toni Erdmann,0
Marina Abramovic: The Artist Is Present,0
Free Solo,0
Corman's World: Exploits of a Hollywood Rebel,0
No Strings Attached,0
Anomalisa,0
Creed,0
The Man Who Shot Liberty Valance,0
X-Men: Days of Future Past,0
The Replacements,0
Bridge of Spies,0
Bullitt,0
The Straight Story,0
Sunrise,0
The Road,0
Get Out,0
Restrepo,0
The Claim,0
The Host,0
Argo,0
Bicycle Thieves,0
"You, the Living",0
Shrek,0
Shithouse,0
Freaks,0
Enough Said,0
How to Survive a Plague,0
Transit,0
Goal! The Dream Begins,0
Hairspray,0
Disney's Teacher's Pet,0
City Lights,0
End of the Century,0
Time,0
Pinocchio,0
In a Lonely Place,0
"Bigger, Stronger, Faster",0
Amadeus,0
Iron Man,0
You Cannot Kill David Arquette,0
The Vanishing,0
The Nice Guys,0
Train to Busan,0
Peeping Tom,0
Shazam!,0
Cool Hand Luke,0
Three Amigos!,0
Mucho Mucho Amor: The Legend of Walter Mercado,0
Los Angeles Plays Itself,0
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,0
Marley,0
Singin' in the Rain,0
ParaNorman,0
The Full Monty,0
Godzilla,0
Tangled,0
What We Do in the Shadows,0
I Lost My Body,0
Plagues and Pleasures on the Salton Sea,0
Frankenweenie,0
Invictus,0
Loveless,0
The Hunger Games: Catching Fire,0
Frankenstein,0
12 Years a Slave,0
My Life as a Zucchini,0
Revanche,0
Westworld,0
F for Fake,0
Spotlight,0
Crazy Rich Asians,0
A Prophet,0
Seymour: An Introduction,0
Hoop Dreams,0
The Leopard,0
Kung Fu Panda,0
The Proposition,0
Moolaadé,0
Knock Down the House,0
13TH,0
Searching,0
Midnight in Paris,0
The Truman Show,0
The Taste of Others,0
The Big Sleep,0
Bamboozled,0
Double Indemnity,0
The Cabinet of Dr. Caligari,0
That Thing You Do!,0
We Are Still Here,0
Dick Johnson Is Dead,0
Minding the Gap,0
The Imposter,0
Throne of Blood,0
Homecoming: A Film by Beyoncé,0
Black Panther,0
Midsommar,0
Hereditary,0
Deep Water,0
Broadcast News,0
The Edge of Seventeen,0
Snow White and the Seven Dwarfs,0
Bolt,0
Arthur Christmas,0
The Assassination of Jesse James by the Coward Robert Ford,0
It Happened One Night,0
Everyday Sunshine: The Story of Fishbone,0
Possessor: Uncut,0
The Adventures of Robin Hood,0
Big Hero 6,0
Aladdin,0
The Outlaw Josey Wales,0
The Grand Budapest Hotel,0
Detour,0
Bus 174,0
Blackfish,0
Manchester by the Sea,0
Deliver Us From Evil,0
Nothing Like a Dame,0
The Witches,0
Drag Me to Hell,0
How to Train Your Dragon,0
Say Anything...,0
The Silence of the Lambs,0
Dave,0
A Star Is Born,0
On the Record,0
The Seventh Seal,0
Life Itself,0
Fantasia,0
The Missing,0
"I, Tonya",0
The Last Picture Show,0
RBG,0
Funny Girl,0
The Red Shoes,0
